字	韻
㶘	定・添上
㶛	以伊魚平
㶟	來惟脂平
㶟	來惟脂上
㶣	定・談平
㶣	澄漪鹽平
㶧	泥區痕上
㶳	邪伊真去
㶴	昌伊支上
㶼	曉依之平
㶼	影・咍平
㶿	並區痕入
㷄	曉區咍上
㷄	見區寒去
㷅	初娃咸入
㷆	並依尤上
㷇	谿區咍平
㷉	影威微去
㷒	疑威魚平
㷓	清・東平
㷓	精・東上
㷟	透區咍平
㷠	來伊真平
㷤	曉・東入
㷭	滂威冬平
㷮	精・豪平
㷰	來伊支平
㷰	徹漪支平
㷳	疑・寒去
㷷	精惟支平
㷸	云漪鹽入
㷹	澄娃肴去
㸃	端・添上
㸅	精・仙入
㸊	來・泰去
㸎	孃漪鹽入
㸏	明漪支平
㸒	以伊侵平
㸙	章伊麻平
㸚	來・齊去
㸚	來伊支上
㸛	常伊宵平
㸡	常惟魚平
㸢	並漪脂去
㸣	疑依嚴入
㸤	滂・仙去
㸪	船惟真平
㸪	邪惟真平
㸬	幫・泰去
㸰	定區歌平
㸰	谿區歌平
㸲	從・唐入
㸳	來・青平
㸶	影娃山平
㸸	曉・侯上
㸸	谿・侯上
㸸	影・侯上
㸹	來區寒入
㸹	來惟先入
㸼	滂威冬平
㹁	來依陽平
㹁	來依陽去
㹂	匣娃山上
㹂	匣・仙入
㹂	谿伊先上
㹃	幫威微去
㹄	精依蒸入
㹉	疑威元平
㹊	疑娃江入
㹌	生娃山上
㹍	定・青入
㹏	見依文上
㹒	滂娃江入
㹔	見依陽平
㹗	透・豪平
㹗	昌伊廢平
㹘	日惟魚去
㹛	日伊宵平
㹜	疑依文平
㹞	疑漪真平
㹠	定區痕平
㹤	谿依嚴入
㹥	章惟魚去
㹧	影・唐平
㹭	以伊祭去
㹮	明娃庚入
㹯	曉依尤平
㹱	清威冬入
㹱	清依陽入
㹲	曉娃肴平
㹳	疑・模平
㹶	定・青平
㹺	透・覃入
㹼	見威東入
㹽	初娃刪上
㹾	並漪宵上
㺁	泥・豪上
㺂	疑娃咸平
㺇	心依之平
㺊	以伊陽去
㺌	匣娃咸上
㺌	匣・添上
㺎	以惟冬平
㺏	來威魚平
㺑	生娃銜上
㺑	生娃咸平
㺑	生娃咸上
㺒	匣娃肴上
㺒	孃娃肴上
㺔	曉・泰去
㺕	並威元平
㺕	並漪先去
㺖	匣・談去
㺖	曉娃銜上
㺖	初娃銜去
㺗	昌漪山平
㺛	章惟魚去
㺜	泥・豪平
㺜	泥・冬平
㺜	孃娃肴平
㺜	孃逶冬平
㺝	匣娃銜上
㺝	匣娃咸上
㺞	以伊魚平
㺟	澄娃江入
㺣	曉漪支平
㺥	崇娃咸平
㺦	來伊先平
㺧	曉漪宵平
㺨	心伊脂平
㺪	滂娃江入
㺴	幫娃山入
㺹	並漪先去
㺺	明・豪去
㺿	以伊之平
㻀	以惟魚平
㻆	匣區仙上
㻌	透・模平
㻍	疑・模平
㻒	羣逶真上
㻗	並區咍去
㻝	來・寒入
㻞	幫漪真平
㻫	幫伊真入
㻬	透・模平
㻯	透・模平
㻶	幫漪真入
㻷	見依蒸入
㻸	莊漪侵平
㻾	影威冬平
㻿	常惟冬入
㼉	澄漪侵去
㼋	見・模平
㼋	日伊魚上
㼌	以惟魚上
㼎	並娃江入
㼏	泥區咍上
㼐	並・仙平
㼑	來・仙去
㼒	透・唐上
㼔	影區痕平
㼕	端・唐平
㼗	定・青平
㼛	匣・青平
㼟	幫娃庚入
㼠	定・歌平
㼡	常惟魚平
㼢	以伊之平
㼤	谿・仙入
㼥	谿・豪上
㼦	見威冬上
㼧	定・東平
㼪	精・添入
㼬	匣娃耕上
㼭	定・添去
㼮	初娃佳平
㼯	端・東去
㼰	並・齊平
㼱	日惟魚平
㼱	日惟先上
㼱	精惟真去
㼲	來・添入
㼲	來伊鹽入
㼳	生漪清上
㼴	疑・侯上
㼵	定・齊上
㼶	以惟魚平
㼸	以惟冬平
㼹	谿・唐平
㼹	谿娃江平
㼺	定・唐平
㼻	從・冬平
㼻	崇娃江平
㼽	生漪陽上
㼽	初漪陽上
㼾	來・東入
㼿	定・東平
㼿	章惟冬去
㽀	澄漪清去
㽁	來・青入
㽃	滂・寒平
㽄	心・齊平
㽄	心伊支平
㽅	端・登平
㽇	匣・東入
㽈	疑依之去
㽉	匣娃銜去
㽌	來依尤去
㽎	定・覃平
㽎	曉漪侵平
㽐	曉・添平
㽑	定・覃平
㽘	見・唐上
㽚	徹漪蒸入
㽡	幫漪支平
㽤	見威東入
㽥	日伊尤平
